parameter_name,value,unit,prior_or_range,evidence_grade,source_id,scope,active_model_version,defined_in,affects,notes
recovery_layers.Neuron.alpha,0.0,per_year,"[0, 1]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/config.py:96,E_developmental,Zero recovery assumed. Untested.
vulnerability_by_age.fetal,5.0,multiplier,"[1, 10]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17;v17-asfr,berm/v16.py:252;berm/exposure/personal.py:149,E_developmental,"The developmental-window weights w(a,tau). Docstring cites Sempou 2022 and Levin 2023 for the direction of the effect, not for the magnitude 5.0. Must not be presented as a measured sensitivity."
vulnerability_by_age.age0_2,4.0,multiplier,"[1, 10]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17;v17-asfr,berm/v16.py:272;berm/exposure/personal.py:152,E_developmental,See vulnerability_by_age.fetal.
vulnerability_by_age.age2_6,3.0,multiplier,"[1, 10]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17;v17-asfr,berm/v16.py:272;berm/exposure/personal.py:154,E_developmental,See vulnerability_by_age.fetal.
vulnerability_by_age.age6_12,2.5,multiplier,"[1, 10]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17;v17-asfr,berm/v16.py:272;berm/exposure/personal.py:156,E_developmental,See vulnerability_by_age.fetal.
vulnerability_by_age.age12_18,2.0,multiplier,"[1, 10]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17;v17-asfr,berm/v16.py:272;berm/exposure/personal.py:158,E_developmental,See vulnerability_by_age.fetal.
personal_contact_hours.1995_2004,0.5,hours_per_day,"[0.1, 1.5]",SCENARIO,BERM_SCENARIO_V17,ALL COUNTRIES GLOBALLY,v17-legacy,berm/exposure/personal.py:20,E_personal,"A single global ladder applied to all 57 countries with no age, sex or country variation. This is the largest unmeasured quantity in E_personal."
personal_contact_hours.2005_2011,2.0,hours_per_day,"[0.5, 4]",SCENARIO,BERM_SCENARIO_V17,ALL COUNTRIES GLOBALLY,v17-legacy,berm/exposure/personal.py:22,E_personal,See personal_contact_hours.1995_2004.
personal_contact_hours.2012_2017,6.0,hours_per_day,"[3, 9]",SCENARIO,BERM_SCENARIO_V17,ALL COUNTRIES GLOBALLY,v17-legacy,berm/exposure/personal.py:24,E_personal,See personal_contact_hours.1995_2004.
personal_contact_hours.2018_2021,10.0,hours_per_day,"[5, 14]",SCENARIO,BERM_SCENARIO_V17,ALL COUNTRIES GLOBALLY,v17-legacy,berm/exposure/personal.py:26,E_personal,See personal_contact_hours.1995_2004.
personal_contact_hours.2022_plus,14.0,hours_per_day,"[6, 18]",SCENARIO,BERM_SCENARIO_V17,ALL COUNTRIES GLOBALLY,v17-legacy,berm/exposure/personal.py:26,E_personal,"14 h/day of body contact is at the upper edge of what waking-hours budgets allow; it needs a survey to stand."
phone_body_contact_hours.cap,18.0,hours_per_day,"[8, 18]",SCENARIO,BERM_SCENARIO_V17,ALL COUNTRIES GLOBALLY,v16;v17-asfr,berm/v16.py:88,E_personal,Parallel and non-identical ladder to exposure/personal.py. Two code paths disagree on the same physical quantity.
night_proximity_prevalence.2018_plus,0.85,fraction,"[0.5, 0.95]",SCENARIO,BERM_SCENARIO_V17,ALL COUNTRIES GLOBALLY,v17-legacy,berm/exposure/personal.py:37,E_night,"Global constant. countries.py:SMARTPHONE_IN_BEDROOM holds country-specific values for the same quantity but is not used by this function."
circadian.night_weight,2.5,multiplier,"[1, 5]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v17-legacy,berm/exposure/personal.py:51,E_night,Biological weight given to night exposure relative to day. No source.
proximity_sar.slope,50,multiplier_per_day_fraction,"[1, 100]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v17-legacy,berm/exposure/personal.py:42,E_personal,"Yields a 30x multiplier at 14 h/day. Reported in model output as proximity_multiplier but does not feed predicted_tfr; verify before it is ever connected."
ambient.device_density_coeff,3.5,dimensionless,"[1, 10]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v17-legacy;v16,berm/exposure/ambient.py:34,E_ambient,"Converts subscriptions x population density into a device density. No source. It also silently assumes subscriptions map linearly to simultaneously transmitting devices, which duty cycle contradicts."
ambient.urban_multiplier_slope,4.0,dimensionless,"[0, 10]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v17-legacy;v16,berm/exposure/ambient.py:39,E_ambient,"Makes a fully urban cell five times the field of a fully rural one at equal density. No source and no measurement; a direct target for replacement by measured field-strength surveys."
ambient.field_exponent,1.3,dimensionless,"[1.0, 2.0]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v17-legacy;v16,berm/exposure/ambient.py:42,E_ambient,"Docstring claims calibration to Ofcom/BNetzA measurements; no measurement file, fit record or residual exists in the repository."
ambient.saturation_ceiling,2.0,index,"[1, 5]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v17-legacy;v16,berm/exposure/ambient.py:46,E_ambient,tanh saturation ceiling of the ambient field index.
sigmoid_v7.a,6.558,births_per_woman,"[6.0, 7.0]",ESTIMATED,BERM_SCENARIO_V17,5 calibration communities,v17-legacy,berm/data/countries.py:403,TFR,"Fitted to 5 points (Amish, Haredi, Mennonite, US, Korea). Reported R2=0.9993 on 5 points with 4 free parameters is not a generalisation estimate."
sigmoid_v7.b,5.646,births_per_woman,"[4, 7]",ESTIMATED,BERM_SCENARIO_V17,5 calibration communities,v17-legacy,berm/data/countries.py:403,TFR,See sigmoid_v7.a.
sigmoid_v7.log_threshold,-1.549,log_index,"[-3, 0]",ESTIMATED,BERM_SCENARIO_V17,5 calibration communities,v17-legacy,berm/data/countries.py:404,TFR,See sigmoid_v7.a.
sigmoid_v7.k,0.456,log_index,"[0.1, 1.0]",ESTIMATED,BERM_SCENARIO_V17,5 calibration communities,v17-legacy,berm/data/countries.py:404,TFR,See sigmoid_v7.a.
community_emf.OldOrderAmish,0.001,effective_emf_index,"[0.0001, 0.01]",SCENARIO,BERM_SCENARIO_V17,Old Order Amish,v17-legacy,berm/data/countries.py:389,E_ambient,"THE X-AXIS OF THE CALIBRATION IS ITSELF ASSUMED. No community in COMMUNITY_DATA has a measured RF exposure; the five EMF values are assigned, then a sigmoid is fitted through them and reported as R2=0.9986."
community_emf.Haredi,0.05,effective_emf_index,"[0.01, 0.2]",SCENARIO,BERM_SCENARIO_V17,Haredi,v17-legacy,berm/data/countries.py:390,E_ambient,See community_emf.OldOrderAmish.
community_emf.ModernMennonite,0.3,effective_emf_index,"[0.1, 0.6]",SCENARIO,BERM_SCENARIO_V17,Modern Mennonite,v17-legacy,berm/data/countries.py:391,E_ambient,See community_emf.OldOrderAmish.
community_emf.USGeneral,0.5,effective_emf_index,"[0.3, 0.8]",SCENARIO,BERM_SCENARIO_V17,USA,v17-legacy,berm/data/countries.py:392,E_ambient,See community_emf.OldOrderAmish.
community_emf.SouthKorea,0.8,effective_emf_index,"[0.5, 1.2]",SCENARIO,BERM_SCENARIO_V17,South Korea,v17-legacy,berm/data/countries.py:393,E_ambient,See community_emf.OldOrderAmish.
cohort_norm_factor,fitted_at_runtime,dimensionless,"[0.5, 2.0]",ESTIMATED,BERM_SCENARIO_V17,mean over 57 countries at 2024,v16;v17-asfr,berm/v16.py:341,E_developmental,"A global rescaling whose stated purpose is to keep adj_cum compatible with the pre-existing bio_capacity.b. It preserves a parameter rather than measuring a quantity."
true_cultural_rate,fitted_per_country,dimensionless,"[0.05, 2.50]",ESTIMATED,BERM_SCENARIO_V17,per country at 2024,v16;v17-asfr,berm/v16.py:768,D_demand,"ONE FREE PARAMETER PER OBSERVATION. calibrate_v16 solves cult = target/(bio_cap*behav) for each of 57 countries against 2024 observed TFR, so in-sample 2024 error is zero by construction. This is a per-country residual under another name; any 2024 fit statistic derived from it is circular."
cultural_rate.clip_low,0.05,dimensionless,"[0, 0.5]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:810,D_demand,Silent saturation. A country whose compensation term leaves this range is clipped without a warning.
cultural_rate.clip_high,2.50,dimensionless,"[1, 5]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:810,D_demand,See cultural_rate.clip_low.
cultural_pronatalism,see countries.py:205,births_per_woman,"[-1, 6]",SCENARIO,BERM_SCENARIO_V17,54 countries,v17-legacy,berm/data/countries.py:205,TFR,"An additive TFR term ranging to +5.5 (Niger), i.e. larger than the entire biological signal for most countries. 32 of the 54 entries are marked 'auto-generated' in the file with no generation procedure recorded. To be replaced by the culture_demand_age_country_year product."
ivf_share_baseline,see countries.py:250,fraction_of_live_births,"[0, 0.15]",ESTIMATED,BERM_SCENARIO_V17,55 countries,v17-legacy;v16,berm/data/countries.py:250,TFR,"Comment cites 'ESHRE, CDC, national ART registries (2023 baseline)' collectively; no per-country citation, year or retrieval record. Used as a scalar TFR correction, which the target architecture forbids."
ivf_share.growth_per_year,0.005,fraction_per_year,"[0, 0.02]",SCENARIO,BERM_SCENARIO_V17,all countries,v17-legacy;v16,berm/v16.py:821;berm/model.py:94,TFR,Linear extrapolation of ART share with no country variation and no capacity constraint.
ivf_share.cap,0.25,fraction,"[0.1, 0.4]",SCENARIO,BERM_SCENARIO_V17,all countries,v17-legacy;v16,berm/v16.py:821;berm/model.py:94,TFR,
migration.imm_share,see countries.py:918,fraction,"[0, 0.9]",SCENARIO,BERM_SCENARIO_V17,29 countries,v17-legacy;v16,berm/data/countries.py:918,TFR,"Constant over all years with no age or generation structure, which the target architecture explicitly forbids. UAE is 0.88 with an assumed immigrant TFR of 2.0."
migration.imm_tfr,see countries.py:918,births_per_woman,"[1.2, 4.0]",SCENARIO,BERM_SCENARIO_V17,29 countries,v17-legacy;v16,berm/data/countries.py:918,TFR,A single permanent immigrant TFR per host country. To be replaced by migration_generation_fertility.
tech_diffusion.start_year,see personal.py:93,year,"[1988, 2014]",SCENARIO,BERM_SCENARIO_V17,22 of 57 countries,v17-legacy,berm/exposure/personal.py:93,E_ambient;E_personal,"An inline dict covering 22 countries; the other 35 silently fall back to (1995, 0.02). Observed WB_IT_CEL_SETS_P2 covers all of them."
tech_diffusion.rate,0.02,per_year_pow_1.5,"[0.015, 0.05]",SCENARIO,BERM_SCENARIO_V17,22 of 57 countries,v17-legacy,berm/exposure/personal.py:93,E_ambient;E_personal,"Power-law ramp min(1, rate*(year-start)^1.5). Deviates from observed subscriptions by a mean absolute 0.203 (max 0.626) on a 24-point spot check; see data-lineage-audit.md finding A-2."
network_quality,see countries.py:158,index_0_1,"[0.2, 0.95]",SCENARIO,BERM_SCENARIO_V17,57 countries,v16;v17-asfr,berm/data/countries.py:158,E_ambient,No source. Values are ordered plausibly but are not measurements of any published network-quality index.
smartphone_in_bedroom,see countries.py:684,prevalence,"[0.25, 0.85]",SCENARIO,BERM_SCENARIO_V17,57 countries,v16;v17-asfr,berm/data/countries.py:684,E_night,"The only country-varying night-exposure quantity in the model, and it is entirely assumed. High-value target for survey replacement."
attenuation.outage_hours,see countries.py:96,hours_per_day,"[0, 8]",SCENARIO,BERM_SCENARIO_V17,57 countries,v17-legacy,berm/data/countries.py:96,E_ambient,Assumed grid-outage hours. World Bank Enterprise Surveys publish a comparable measured quantity.
attenuation.sanctions_tech,see countries.py:96,multiplier,"[0.7, 1.0]",SCENARIO,BERM_SCENARIO_V17,57 countries,v17-legacy,berm/data/countries.py:96,E_ambient,Assumed equipment-quality penalty.
country_params.metro_density,see countries.py:37,persons_per_km2,"[1500, 36000]",ESTIMATED,BERM_SCENARIO_V17,54 countries,v17-legacy;v16,berm/data/countries.py:37,E_ambient,"Replaceable by GHSL or national census gridded population. France 21000 and Bangladesh 36000 are outliers that should be re-derived from a common definition of 'metro'."
country_params.metro_pop_share,see countries.py:37,fraction,"[0.05, 0.5]",ESTIMATED,BERM_SCENARIO_V17,54 countries,v17-legacy;v16,berm/data/countries.py:37,E_ambient,"The population weight between metro and non-metro ambient. WB_SP_URB_TOTL_IN_ZS is downloaded but not used for it."
epigenetic.decay,0.97,per_generation,"[0.9, 1.0]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:496,R_reproductive,Transgenerational decay factor. No source.
epigenetic.generation_years,28.0,years,"[25, 32]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:496,R_reproductive,"Also used as the peak-fertility age in three other places (v16.py:300, 324, 345; exposure/personal.py:186). Should come from the observed mean age at childbearing instead."
baseline_male_ratio,0.512,fraction,"[0.510, 0.515]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,diagnostic,berm/v16.py:1062,sex_ratio,"The value coincides with the commonly published human secondary sex ratio, but the code carries no citation, so it cannot be graded MEASURED. Attach a cited source_id and then upgrade the grade."
sex_ratio_ros_sensitivity,0.003,per_ros_unit,"[0, 0.01]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,diagnostic,berm/v16.py:1063,sex_ratio,No source.
csli.expected_lag_years.dog,1.0,years,"[0.5, 3]",SCENARIO,BERM_SCENARIO_V17,dog,diagnostic,berm/csli/species_data.py:27,sentinel_lag,"CONFLICT: berm/stats/csli.py:258 holds a second, divergent biology table for the same species. Bees are 0.3 in one and 0.5 in the other; human_sperm generation time is 74 days in one and 365*15 in the other."
csli.exposure_gradient.status,NOT_ESTIMABLE,status,see berm/csli/falsification.py:104,UNIDENTIFIED,BERM_SCENARIO_V17,all sentinel comparisons,diagnostic,berm/csli/falsification.py:104,sentinel_contrast,"Retired rank parameter: no species RF rank or low-exposure classification is held. The public API is BLOCKED pending measured dosimetry, comparable response panels, and matched covariates."
