file,route,role,published_exists,published_line,working_exists,working_line,state
website/app/[locale]/evidence/infant-vulnerability/page.tsx,/fi/evidence/infant-vulnerability,varhaiset geneettiset sairaudet ja laukaisijoiden ero,True,40,True,40,different
website/app/[locale]/evidence/triple-strikes/page.tsx,/fi/evidence/triple-strikes,yhteisten välittäjien laskenta kerran,True,28,True,28,different
website/app/[locale]/evidence/testosterone/page.tsx,/fi/evidence/testosterone,"pitoisuus, saatavuus, reseptoritoiminta",True,15,True,12,different
website/app/[locale]/civilization/page.tsx,/fi/civilization,yksilöjakaumasta populaatioon erillisin säännöin,True,65,True,60,different
website/app/[locale]/civilization/epistapege/page.tsx,/fi/civilization/epistapege,biologinen tila ja kerrottu syy,True,1,False,,published_only
website/app/[locale]/civilization/patopoliteia/page.tsx,/fi/civilization/patopoliteia,RyR2-solututkimuksen nykyinen makrotulkinta,True,1,True,1,identical
website/components/CivilizationReadingPath.tsx,/fi/civilization#individual-to-civilization,mittakaavojen yhteys,True,79,True,79,different
website/components/BiologicalCoordinationContext.tsx,useita sivuja,jaettu selityslinkki,True,106,True,106,identical
website/components/BiologicalCoordinationExplorer.tsx,/fi/model/biological-coordination,visualisointi ja oletusten ilmoittaminen,True,127,True,127,identical
website/components/ConditionalScenarioExplorer.tsx,skenaariot,olemassa olevan datan parametrien käyttö,True,35,True,35,identical
website/lib/navigation.ts,kaikki sivut,navigaation sisältö ja reittien säilytys,True,413,True,386,different
website/components/ModelTableOfContents.tsx,/fi/model,sisällysluettelo,True,1,True,1,different
website/lib/causalAtlasRegistry.ts,/fi/map,malli–atlas–mekanismikortti,True,40,True,39,different
website/lib/causalAtlasData.ts,/fi/map,alaskaalojen näkymät ja opastetut reitit,True,49,True,48,different
website/data/atlas-claim-bindings.json,/fi/map,väitteet oikeisiin solmuihin/kaariin,True,79,True,76,different
website/data/causal-atlas-extensions.json,/fi/map,taudinimet haun aliaksiksi,True,6553,True,6553,different
